name,steps,tags,style,main_ing,total_ingredient,description
깻잎감자샐러드,"[' 감자는 깨끗이 씻어 껍질을 벗기고 감자와 사과를 먹기 좋은 크기로 깍둑썰기 해주세요,',' 감자는 김이 오른 찜통에 넣어 15분간 쪄주세요.*Tip. 끓는 물에 소금을 약간 넣어 부드럽게 익을 때까지 삶아도 좋습니다.',' 깻잎을 잘게 다진 후 나머지 드레싱 재료와 골고루 섞어주세요.', '완성 ',' 감자, 사과에 드레싱을 넣어 잘 버무리면 완성이예요!']",['간단요리'],0,['감자'],"['감자','사과','깻잎','올리브유','소금, 후춧가루']","샐러드에 바질 대신 손쉽게 구할 수 있는 우리 향채소인 깻잎을 활용하면 특별한 맛을 낼 수 있답니다. 또한 깻잎은 비타민 C 함량이 사과의 4배, 칼슘이 시금치의 5배로 영양이 풍부하며 혈중 콜레스테롤을 낮추는 데 도움을 줄 수 있어요! 잘게 다진 깻잎을 넣은 오일드레싱을 곁들인 깻잎감자샐러드, 함께 만들어볼까요?"
페타치즈올리브오이샐러드,"[' 오이는 송송 썰고 양상추잎과 치커리는 한입 크기로 뜯어주세요. 올리브는 편으로 썰고 방울토마토는 2등분 해주세요.',' 양파는 굵게 다져 페타치즈와 골고루 섞어주세요.',' 분량의 드레싱 재료를 잘 섞어주세요.', '완성 ',' 그릇에 순서 1, 2를 담고 드레싱을 골고루 뿌려낸 뒤 맛있게 즐겨보세요!']",['메인요리'],0,"['오이','페타치즈']","['오이','쌈채소 ','블랙올리브','방울토마토','양파','페타치즈','페타치즈 오일','발사믹식초','설탕','소금','굵은 후춧가루']","지중해식 샐러드는 오이, 양파, 토마토 등 해독 효과가 뛰어난 생채소와 불포화지방산을 함유한 올리브유를 곁들여 세계적으로 건강 식단으로 손꼽힙니다. 페타치즈는 각종 향신료와 오일에 재워놓아 풍미가 좋고, 포슬포슬한 특유의 식감이 있어 샐러드에 넣으면 색다르게 즐길 수 있답니다! "
중국식 돼지고기양상추샐러드,"[' 양상추잎은 쌈 싸먹기 좋은 크기로 뜯어주세요.',' 피망, 양파는 굵게 다져주세요.',' 달군 프라이팬에 다진 마늘과 돼지고기, 양파를 넣고 볶다가 두반장, 피망을 넣고 한 번 더 볶아주세요.', '완성 ',' 완성된 돼지고기 볶음에 부순 땅콩을 뿌린 뒤 양상추와 함께 맛있게 즐겨보세요!Tip. 잎이 굵고 줄기가 있는 양상추의 흰 부분은 방망이로 가볍게 두들겨주면 먹기에 더 좋아요!']",['메인요리'],0,"['양상추잎','다진 돼지고기']","['양상추잎','청피망','홍피망','양파','다진 돼지고기','다진 마늘','두반장','부순 땅콩']","중국식으로 두반장 소스와 마늘을 넣어 
볶은 돼지고기를 아삭한 양상추에 쌈처럼 싸먹는 이색적인 요리입니다. 디핑 소스에 땅콩을 넣어 고소한 맛과 씹는 재미를 더합니다. 쌈용 양상추는 속 안의 하얀 부분을 활용하면 씹는 맛이 더 좋답니다. 맛있게 볶아 한 쌈 한 쌈 즐겨보세요~"
미역참치샐러드,"[' 물미역은 2cm 폭으로 썰어 끓는 물에 살짝 데쳐 물기를 빼주세요.*Tip. 미역이 선명한 녹색이 되면 바로 건져 찬물에 헹궈주세요.',' 김은 8~10등분 하고, 냉동참치는 편으로 썰어주세요.',' 드레싱 재료를 잘 섞어 미역, 참치에 버무려주세요.', '완성 ',' 생김을 곁들여 맛있게 즐기세요!']",['메인요리'],0,"['물미역','냉동참치']","['물미역','생김','냉동참치','된장','식초','설탕']",된장이 미역과 참치의 비릿한 맛을 잡아주고 고소함을 더 해주어 간단한 술안주로도 손색이 없는 샐러드랍니다. 콩에 함유된 ‘사포닌’ 성분은 체내에 들어오면 요오드를 몸 밖으로 배출하는데요~ 미역이나 다시마를 함께 먹으면 요오드를 보충할 수 있어 영양학적으로 궁합이 훌륭하죠! DHA가 풍부한 참치와 미역에 된장드레싱을 더해 맛있게 만들어 볼까요?
구운 토마토소고기샐러드,"[' 소고기는 키친타월에 올려 핏물을 뺀 후 한입 크기로 썰고 방울토마토는 꼭지를 떼어내주세요. 양파는 도톰하게 채를 썰고 주키니호박도 어슷하게 썰어줍니다.',' 달군 프라이팬에 올리브유를 두르고 양파와 주키니호박을 볶다가 소고기를 넣고 좀 더 볶아주세요.',' 소고기가 반 정도 익으면 드레싱 재료와 토마토를 넣고 완전히 익을 때까지 볶아주세요.', '완성 ',' 완성된 토마토소고기샐러드를 그릇에 담고 루콜라를 곁들여 내어 맛있게 즐기세요.']",['메인요리'],0,"['소고기 (스테이크용)','방울토마토']","['소고기 ','방울토마토','양파','주키니호박','루꼴라 ','올리브유','발사믹식초','후춧가루']","토마토는 생으로 먹어도 맛있지만, 구우면 과육의 맛이 더 깊어지고 달콤한 맛이 강해집니다. 따뜻하게 즐기는 샐러드로 추운 날이나 저녁 식사로 특히 좋아요. 굽는 과정에서 토마토의 과즙이 흘러나와 고기 요리와 잘 어울러진답니다."
견과류단호박샐러드,"[' 단호박은 깨끗이 씻어 껍질째 큼직하게 썰고, 두부도 한입 크기로 썰어주세요.',' 단호박을 김이 오른 찜통에 넣고 15분간 쪄주세요. 단호박이 부드러워지면 두부를 넣고 5분간 더 쪄줍니다.', '완성 ',' 순서 2를 견과류와 섞어준 후, 메이플시럽, 소금, 후춧가루를 뿌려 버무리면 완성이예요.']",['간단요리'],0,"['단호박','견과류(호두, 아몬드 등)']","['단호박','두부','견과류','메이플시럽','소금, 후춧가루']","단호박과 두부가 들어가 담백하면서도 메이플시럽의 달콤함과 호두, 아몬드의 고소함이 조화로운 맛을 냅니다. 칼로리가 낮은 재료들로 간단하게 만들 수 있으면서도 포만감을 주는 든든한 샐러드랍니다. "
단호박조림샐러드,"[' 단호박과 양배추는 깨끗이 씻어 한입 크기로 썰어주세요.',' 냄비에 단호박, 양배추, 다시마물, 대추를 넣고 15분간 끓여주세요.*Tip. 다시마물 만들기5×5cm 다시마를 준비해 겉면을 젖은 키친타월로 닦아줍니다. 냄비에 물 2컵과 다시마를 넣고 불에 올려 물이 끓어오르면 불을 끄고 30분 정도 우립니다. 또는 다시마를 물에 담가 하룻밤 정도 우려내도 좋습니다. 이 레시피에서는 에서 다시마와 물을 함께 넣고 우려내도 된답니다!',' 단호박이 익으면 간장, 잣을 넣고 약한 불에서 졸여주세요.', '완성 ',' 완성된 단호박조림에 누룽지를 곁들여 맛있게 즐겨보세요!']",['메인요리'],0,['단호박'],"['단호박','양배추','다시마물','대추','간장','잣','누룽지']","짭조름하면서도 달콤한 맛으로 반찬이나 식사 대용으로도 좋은 샐러드입니다. 
부드러운 단호박에 누룽지의 바삭함이 잘 어우러져 남녀노소 누구나 좋아하는 맛이랍니다. 달큰한 단호박과 구수한 누룽지의 조화를 음미해보세요!"
오이새우샐러드,"[' 오이는 송송 썰고, 파프리카는 2×2cm 크기로 썰고, 양파는 굵게 다져주세요.',' 칵테일새우는 끓는 물에 살짝 데쳐주세요.',' 분량의 드레싱 재료를 골고루 섞고 순서 1, 2와 함께 버무려 주세요.', '완성 ',' 먹기 직전 굵은 소금을 살짝 뿌린 후 맛있게 즐기세요!']",['간단요리'],0,"['오이','칵테일새우']","['오이','빨간 파프리카','노란 파프리카','양파','칵테일새우','굵은 소금','올리브유','레몬즙','설탕','후춧가루']","아삭아삭한 오이는 부드러운 새우와 잘 어우러지고 상큼한 레몬드레싱은 입안을 깔끔하고 개운하게 해줍니다. 소금간을 강하게 하기보다는 먹기 직전에 굵은 소금을 살짝 뿌려서 내면 더욱 좋아요. 샐러드에 짠맛이 자연스럽게 녹아들고 소금 결정체가 중간중간 씹히면서 입맛을 돋구어준답니다. 단백질과 식이섬유가 잘 조화된 샐러드로 한 끼 식사로 제격인 오이새우샐러드, 우리 함께 만들어봐요!"
파프리카참치스푼샐러드,"[' 파프리카와 오이는 델큐브 참치 크기로 썰어주세요. 쌈채소는 깨끗이 씻어 물기를 빼고 한입 크기로 뜯어주세요.',' 분량의 드레싱 재료를 잘 섞어주세요.', '완성 ',' 순서 1과 델큐브 참치에 드레싱을 잘 버무리면 완성이랍니다!']",['간단요리'],0,"['빨간 파프리카','노란 파프리카','델큐브 참치']","['빨간 파프리카','노란 파프리카','오이','델큐브 참치','쌈채소 ','플레인 요거트','설탕','물','카레가루','굵은 후춧가루']","깍둑썰기 한 파프리카와 큐브 참치를 숟가락으로 떠먹으면 포크로 먹는 것보다 더 쉽게 부담 없이 먹을 수 있습니다. DHA가 풍부한 참치를 곁들여 영양의 균형을 맞추고 신선한 쌈채소도 곁들여 봤어요. 플레인요거트를 베이스로 한 드레싱에 면역력을 키워주는 강황이 풍부한 카레가루를 살짝 더하니 독특하면서도 쉽게 질리지 않는 맛이 되었네요. 독특한 드레싱과 샐러드, 함께 만들어 보실까요?"
브로콜리닭가슴살샐러드,"[' 브로콜리는 송이 부분만 한 입 크기로 잘라 편으로 썰고 양파, 파프리카, 닭가슴살은 도톰하게 채를 썰어주세요. 모든 재료를 올리브유로 버무려주세요.',' 달군 그릴팬에 순서 1의 재료들을 올려 구워주세요.',' 분량의 드레싱 재료를 잘 섞어주세요.', '완성 ',' 잘 구워진 재료들을 그릇에 보기좋게 담고 드레싱을 골고루 뿌려 맛있게 즐기세요!']",['메인요리'],0,"['브로콜리','빨간 파프리카']","['브로콜리','양파','빨간 파프리카','닭가슴살','올리브유','씨머스터드','디종머스터드','사과식초','설탕','후춧가루']","그릴에 노릇하게 구운 채소와 닭가슴살은 눈으로 보기만 해도 식욕을 자극할 뿐만 아니라 특유의 불향이 더해져 풍미가 더욱 좋아요. 씨머스터드는 톡톡 씹히는 맛이 있고, 디종머스터드는 톡 쏘는 매운맛이 있어 구운 채소와 잘 어울리며 닭가슴살의 비린 맛도 잡아준답니다. 맛있고 건강한 한 끼를 지금 함께 만들어 보세요!"
만다린닭가슴살샐러드,"[' 청상추, 적상추, 치커리는 먹기 좋게 손질하고 양파는 채를 썰어주세요.',' 닭가슴살은 허브가루를 뿌리고 물을 2큰술 넣어 프라이팬에 노릇하게 구워주세요.*Tip. 뚜껑을 덮고 구워야 식감이 촉촉하고 부드러워요.',' 오렌지 속살만 발라내 1/2개는 된장, 사과식초와 함께 믹서에 곱게 갈아주세요.', '완성 ',' 나머지 오렌지 1/2개를 닭가슴살과 함께 먹기 좋게 잘라 그릇에 담고 드레싱과 부순 견과류를 뿌려 내면 완성이예요!*Tip. 오렌지 제스트 만들기오렌지 껍질을 끓는 물에 살짝 데쳐서 키친타월로 닦거나굵은 소금이나 베이킹 소다로 문질러 왁스 성분을 제거해줍니다. 필러로 겁질을 얇게 벗겨서 제스트를 만들어 드레싱과 함께 뿌려주면 풍미가 더 좋답니다.']","['메인요리', '키토']",0,"['닭가슴살','오렌지']","['청상추','적상추','치커리','양파','닭가슴살','허브가루','오렌지','견과류','된장','사과식초','오렌지']",오렌지는 의외로 구수한 된장과 잘 어울린답니다. 오렌지의 상큼한 단맛과 된장의 고소한 맛이 만나 균형 잡힌 드레싱이 완성되지요. 특히 닭가슴살과 함께 곁들이면 비린 맛을 잘 잡아주고 촉촉하게 즐길 수 있답니다. 오렌지 껍질로 제스트를 만들어 넣으면 향긋한 풍미가 더 살아납니다. 
당근돼지고기샐러드,"[' 양배추와 당근은 곱게 채를 썰고 아몬드는 잘게 다져주세요.',' 돼지고기는 달군 프라이팬에 중간 불로 타지 않게 볶아주세요.',' 드레싱 재료를 골고루 섞어주세요.', '완성 ',' 채 썬 양배추와 당근, 볶은 돼지고기를 그릇에 담고 드레싱과 다진 아몬드를 뿌려 맛있게 즐기세요.']",['메인요리'],0,"['당근','돼지고기 (잡채용)']","['양배추','당근','돼지고기 ','아몬드','건포도','오렌지즙','레몬즙','올리브유','설탕','시나몬파우더','소금, 후춧가루']","오렌지즙과 시나몬파우더가 들어간 모로칸드레싱을 곁들여 상큼하면서도 이국적인 샐러드를 만들어 보았어요. 채썬 돼지고기와 당근, 양배추를 볶아 드레싱을 섞은 따뜻한 샐러드랍니다. 쫄깃하면서 단맛을 주는 건포도로 풍미를 더했는데 건크랜베리나 다른 건과일을 넣어도 좋아요!"
감자 달걀 오이 샐러드,"[' 감자는 깨끗이 씻어 껍질을 벗기고 깍둑썰기하여 찜기에 쪄주세요.',' 오이는 반으로 잘라 송송 썰고 소금을 뿌려 잠시 절여두었다가 키친타월이나 면포에 감싸 물기를 꼭 짜주세요. 달걀은 반숙으로 8분간 삶아 껍질을 벗겨주세요.기고 반으로 가른다',' 분량의 재료로 드레싱을 만들어주세요.', '완성 ',' 드레싱과 순서 1, 2의 재료들을 모두 넣고 버무리면 완성이예요!']",['간단요리'],0,"['감자','달걀','오이','소금']","['감자','달걀','오이','소금','마요네즈','디종 머스터드','설탕','소금, 후추']",감자샐러드에 마요네즈 베이스의 드레싱을 곁들이면 느끼할 수 있지만 머스터드를 약간 넣으면 톡 쏘는 맛이 더해져 어른들 입맛에도 잘 맞아요. 오이 역시 아삭한 식감과 상큼함으로 느끼함을 덜어줍니다. 시간이 지날수록 맛이 진하고 풍부해지므로 냉장고에 두고 먹기에 적당한 샐러드랍니다~
셀러리과일샐러드,"[' 셀러리는 어슷하게 얇게 썰고 사과는 씨를 제거하고 껍질째 웨지 모양으로 썰어 4등분 해주세요. 바나나는 반으로 길게 가른 후 어슷하게 썰어주세요.',' 드레싱 재료를 잘 섞어 순서 1과 감말랭이에 골고루 버무려주세요.*Tip. 감말랭이 만들기감말랭이는 감 껍질을 벗기고 3∼4조각으로 자른 후 건조한 것으로 쫄깃하면서 자연스러운 단맛을 내줍니다. 김말랭이 대신 곶감이나 반건시를 활용해도 괜찮아요. 감을 말리면 비타민 A가 더 풍부해져 면역력을 높여주고 감기 예방에 효과적이에요!', '완성 ',' 그릇에 담아 맛있게 즐기세요. 양이 많으면 냉장고에 차갑게 보관했다가 드셔도 맛이 좋답니다.']",['간단요리'],0,"['셀러리','사과']","['셀러리','사과','바나나','감말랭이','플레인요거트','마요네즈','설탕']",요거트와 마요네즈를 베이스로 한 드레싱은 자칫 느끼할 수 있는데 셀러리의 독특한 향과 사과의 상큼함이 맛의 균형을 잘 잡아줍니다. 셀러리 줄기 부분의 섬유질은 작게 자르면 크게 거슬리지 않고 식이섬유를 많이 섭취할 수 있으므로 제거하지 말고 그대로 사용해보세요. 평소에 셀러리를 좋아하지 않았어도 맛있게 즐길 수 있는 셀러리 요리랍니다.
파프리카연어샐러드,"[' 파프리카, 사과는 곱게 채를 썰고 양상추는 한입 크기로 뜯어주세요.',' 훈제연어는 키친타월로 눌러 기름기를 제거한 후 레몬즙을 뿌려 비린 맛을 없애고 먹기 좋은 크기로 썰어주세요.',' 분량의 드레싱 재료를 잘 섞어주세요.', '완성 ',' 그릇에 순서 1, 2를 담고 드레싱을 뿌려내면 완성이예요!']","['메인요리', '키토']",0,"['빨간 파프리카','노란 파프리카','훈제연어']","['빨간 파프리카','노란 파프리카','사과','양상추','훈제연어','레몬즙','다진 양파','사과식초','올리브유','설탕','소금, 후춧가루']",수분이 풍부한 파프리카를 가늘게 채를 썰면 두껍게 썰 때와는 또 다른 부드러운 식감이 납니다. 아삭하면서도 고소한 양상추와 함께 요리하면 입안 가득 생채소의 신선함을 느낄 수 있지요. 여기에 스모키한 훈제연어를 더해 맛과 영양이 조화로운 샐러드를 만들어 보았어요. 함께해 보실까요?
베이컨감자샐러드,"[' 감자는 깨끗이 손질해 껍질째 웨지 모양으로 썰어 끓는 물에 데쳐주세요. 양파는 도톰하게 채를 썰고, 오이고추는 어슷하게 0.5cm 폭으로, 베이컨은 2cm 폭으로 썰어줍니다.',' 달군 프라이팬에 베이컨과 양파, 감자를 넣고 베이컨과 감자가 익을 때까지 볶아주세요.',' 드레싱 재료와 오이고추를 넣고 한 번 더 살짝 볶아주세요.', '완성 ',' 완성된 베이컨감자샐러드를 그릇에 담아 포슬한 감자와 짭조름한 베이컨의 맛을 즐겨보세요!']",['메인요리'],0,"['감자','오이고추']","['감자','양파','오이고추','베이컨','간장','고춧가루','설탕','소금, 후춧가루']","포근한 감자와 고소하고 바삭한 베이컨의 맛이 어우러져 반찬으로도 좋은 샐러드랍니다. 고춧가루와 오이고추가 베이컨의 느끼한 맛을 잡아주고 캡사이신 성분이 다이어트에도 도움을 줄 수 있어요. 매콤하게 입맛 당기는 맛 좋은 베이컨감자샐러드, 지금 함께 만들어 보세요~"
콩나물제육볶음,"[' 깻잎은 4cm 크기로 썰고 대파와 청양고추는 어슷하게 썰고 양파는 채썰어주세요.',' 돼지고기는 5cm 크기로 자르고 콩나물은 손질해주세요.*Tip. 돼지고기 부위는 삼겹, 목살, 앞다리살, 뒷다리살 모두 괜찮지만 목살이 담백하고 맛있어요!',' 달군 팬에 식용유를 두르고 대파를 넣어 파기름을 내주세요.',' 파 향이 올라오면 돼지고기를 넣고 1분 정도 볶아주세요.',' 설탕, 맛술, 후추를 넣고 2분 정도 더 볶아주세요.',' 돼지고기가 다 익으면 고추장, 고춧가루, 진간장, 마늘을 넣고 1분 정도 볶아주세요.',' 콩나물, 깻잎, 양파, 청양고추를 넣고 콩나물의 숨이 죽을 때까지 2분 정도 더 볶아주세요.', '완성 ',' 맛있게 볶음 콩나물제육볶음을 그릇에 덜어 맛있게 즐기세요. 기호에 따라 상추나 깻잎 등 쌈채소를 곁들여도 좋아요!']",['한식'],0,"['돼지고기','콩나물']","['돼지고기','콩나물','깻잎','양파','대파','청양고추','고추장','고춧가루','진간장','다진 마늘','설탕','맛술','후추','식용유']",제육볶음을 만들 때 대파를 송송 썰어 넣어 파향을 즐겨도 좋지만 콩나물을 듬뿍 넣어 먹어도 아주 맛있답니다. 콩나물을 넣으면 구수한 콩나물의 채수와 아삭한 식감이 더해져 더욱 맛있는 제육볶음을 만들 수 있어요. 콩나물은 채수를 많이 머금고 있어서 평소보다 양념의 간을 조금 더 세게 잡는 것이 콩나물제육볶음의 포인트인데요~ 매콤하고 간간하게 볶아 맛있게 즐겨볼까요?
시금치파스타,"[' 시금치는 흐르는 물에 씻고 밑동을 잘라주세요.',' 냄비에 물을 넣고 끓어오르면 시금치를 30초 정도 데친 뒤 찬물에 담가 열기를 식히고 꼭 짜주세요.',' 통마늘, 호두, 아몬드, 시금치를 믹서에 넣고 곱게 갈아주세요. *Tip. 수분이 없으면 곱게 갈기 힘들기 때문에 우유를 조금 넣고 갈아주세요.',' 냄비에 물을 절반 정도 채우고 스파게티를 넣어 7분 정도 삶아주세요.',' 달군 팬에 버터, 스파게티를 넣고 1분 정도 골고루 섞어주세요.',' 우유, 생크림, 파르메산치즈가루를 넣고 2분 정도 끓여주세요.',' 순서 3의 시금치페스토를 넣고 골고루 섞어주세요.', '완성 ',' 완성된 시금치파스타를 접시에 담아 맛있게 즐겨보세요!']",['메인요리'],1인분,"['스파게티','시금치']","['스파게티','시금치','통마늘','호두','아몬드','우유','생크림','파르메산치즈가루','버터']",씹을수록 고소하고 담백한 시금치는 주로 한식에 사용되지만 파스타에도 은근 잘 어울리는 식재료예요. 미리 시금치페스토를 만들어두면 다양한 요리에 활용할 수 있어 간편하답니다. 시금치만 사용하면 끝맛이 씁쓸할 수 있으므로 견과류를 넣어 고소한 맛을 더한 파스타 레시피를 소개할게요~
굴순두부찌개,"[' 대파, 청양고추, 홍고추를 어슷하게 썰어주세요.',' 양파는 채 썰고 애호박은 1cm 두께로 슬라이스한 뒤 반으로 잘라주세요.',' 순두부는 1.5cm 두께로 동그랗게 자른 뒤 30분 정도 물기를 빼주세요.*Tip. 순두부를 바로 사용하면 수분이 생겨 간을 맞추기 어렵고 맛이 없어지니 꼭 수분을 빼고 넣어주세요!',' 약불로 달군 냄비에 식용유를 두르고 대파와 고춧가루를 넣어 1분 정도 볶아 고추기름을 내주세요.',' 물을 넣고 3분 정도 끓인 뒤 국간장, 마늘, 설탕, 소금, 후추를 넣고 2분 정도 더 끓여주세요.',' 애호박, 양파, 대파, 청양고추, 홍고추를 넣고 1분 정도 끓여주세요.',' 순두부를 넣고 달걀을 풀어서 넣어주세요.',' 분량의 세척 재료로 잘 세척한 굴을 넣고 3분 정도 더 끓여주세요.', '완성 ',' 향긋한 굴내음과 부드러운 순두부를 음미하며 맛있게 즐기세요!']",['한식'],0,"['굴','순두부']","['굴','순두부','달걀','애호박','양파','대파','청양고추','홍고추','물','고춧가루','식용유','국간장','다진 마늘','설탕','소금','후추','굵은 소금','식초']",굴은 바다의 우유라고 부를 정도로 영양가가 풍부합니다. 다양한 요리로 활용할 수 있지만 기본적으로 세척을 잘해야 탈이 나지 않아요. 이번엔 부드러우면서도 칼칼한 순두부찌개에 넣어 끓여봤어요. 굴순두부찌개를 끓일 때는 굴을 마지막에 넣어야 향을 제대로 즐길 수 있답니다.
감자북엇국,"[' 북어채는 20분 정도 물에 담가 염분을 빼고 양손으로 짜서 물기를 제거해주세요.',' 양파, 대파는 채 썰고 감자는 1cm 크기로 깍둑 썰어 주세요.',' 달군 냄비에 참기름을 두르고 적당한 크기로 자른 북어채를 넣어 2~3분 정도 볶아주세요.',' 감자, 물을 넣고 센불에서 4분 정도 끓여주세요. 거품이 생기면 걷어내주세요.',' 젓가락으로 감자를 찔러보고 감자가 익었으면 국간장, 소금, 후추를 넣고 한소끔 더 끓여주세요.',' 달걀을 잘 풀어서 넣고 양파, 대파, 마늘을 넣고 2분 정도 더 끓여주세요.*Tip. 달걀물을 넣고 바로 저으면 달걀 특유의 비린내가 날 수 있으므로 30초 정도 뒤에 저어주세요!', '완성 ',' 그릇에 덜어 따뜻할 때 맛있게 드세요!']",['한식'],0,"['북어채','감자']","['북어채','양파','대파','감자','달걀','물','참기름','다진 마늘','국간장','소금','후추']",북엇국은 아침에도 간단하게 끓일 수 있는 든든한 국이예요. 북어채는 해동을 하지 않아도 되기 때문에 바쁠 때 사용하기에 제격이죠. 북어채만 넣어 끓인 북엇국도 깊은 맛이 있지만 감자와 달걀을 넣으면 영양도 풍부해지고 더 든든하게 즐길 수 있답니다.
파채불고기,"[' 소고기는 물에 30분 정도 담가 핏물을 제거해주세요.*Tip. 불고기용 소고기는 얇아서 오랫동안 핏물을 빼지 않아도 된답니다!',' 양파, 당근은 채 썰고 대파는 길이 7~8cm, 두께 0.5cm 크기로 채 썰어주세요.',' 배는 껍질을 벗기고 믹서에 곱게 간 뒤 소고기에 넣어주세요.*Tip. 혹시 배가 없다면 배 음료 80g을 넣어주세요.',' 진간장, 국간장을 넣고 골고루 섞어주세요.',' 순서 4에 올리고당, 후추, 설탕, 마늘, 맛술을 넣고 잘 버무린 뒤 냉장고에서 30분 정도 숙성시키고 꺼내 기름을 두르지 않은 팬에 넣고 센불로 5분 정도 볶아주세요.*Tip. 센불에서 빠르게 익히는 게 중요하고 너무 자주 뒤섞지 않는 게 좋아요!',' 양파, 당근을 넣고 당근이 익을 때까지 2분 정도 볶아주세요.', '완성 ',' 볶은 불고기 위에 채 썬 대파를 올려서 맛있게 즐겨보세요!']",['한식'],0,"['소고기(설도)','대파']","['소고기','양파','당근','대파','배','진간장','국간장','올리고당','후추','설탕','다진 마늘','맛술']",간장양념을 넣은 불고기는 짭짤하면서 단맛이 특징이지만 고기에 기름기가 많을 경우 그 맛이 느끼할 때도 있지요. 그럴 때 얇게 자른 파채를 더해주면 아삭한 식감과 시원한 맛이 잘 어우러진답니다~ 불고기와 파채를 함께 볶아도 좋지만 따로 파채를 곁들여 먹으면 향도 더 좋고 더 맛있게 즐길 수 있어요!
바지락크림파스타,"[' 물에 소금을 넣고 봉지를 씌어 1시간 동안 바지락을 해감시켜 주세요. 해감이 끝나면 깨끗한 물에 씻어주세요.*Tip. 쇠숟가락을 넣으면 해감이 더욱 잘 된답니다.',' 양파는 채 썰고 햄은 1.5cm 두께로 썰어주세요.',' 청양고추는 어슷하게 썰고 양송이버섯은 슬라이스해주세요.',' 냄비에 물을 반 정도 넣고 스파게티를 넣어 7분 정도 삶아주세요.',' 달군 팬에 버터를 녹이고 양파, 햄, 양송이버섯, 청양고추, 마늘을 넣어 햄이 바삭하게 익을 때까지 2분 정도 볶아주세요.',' 순서 5의 팬에 해감한 바지락을 넣고 1분 정도 볶아주세요.',' 우유와 생크림을 넣어 끓이다가 보글보글 끓어오르면 체다치즈와 파르메산치즈가루를 넣어 1분 정도 더 끓여줍니다.',' 순서 4의 스파게티를 넣고 양념이 잘 스며들도록 30초 정도 섞은 뒤 후추를 뿌려주세요.', '완성 ',' 완성된 바지락크림스파게티를 접시에 담아 맛있게 즐겨보세요!']",['양식'],0,"['바지락','스파게티 (또는 푸실리)','생크림']","['바지락','양파','햄 ','양송이버섯','청양고추','스파게티 ','마늘','우유','생크림','버터','체다치즈','파마산 치즈 가루','후추','물','소금']","바지락이 들어간 요리는 맛이 깊고 담백합니다. 바지락은 오일파스타 뿐 아니라 크림파스타와도 무척 잘 어울리는데요,
크림파스타는 우유와 생크림의 비율을 2:1로 만드는 게 가장 좋고 달걀노른자를 추가하면 조금 더 고소하고 부드럽게 즐길 수 있답니다~"
마라탕,"[' 팽이버섯, 느타리버섯은 잘 씻어 밑동을 자르고 표고버섯은 1cm 두께로 슬라이스 해주세요.',' 감자는 껍질을 벗기고 1cm 두께로 슬라이스한 뒤 2등분 하고 청경채는 잘 씻어서 다듬어주세요.',' 오징어는 1.5cm 두께로 썰고 새우는 머리와 꼬리를 제거하고 껍질을 벗겨주세요.',' 냄비에 물, 사골국물을 넣고 납작당면을 넣어 5분 정도 끓여주세요.',' 순서 4의 냄비에 마라소스를 넣고 1분 정도 더 끓여주세요.',' 팽이버섯, 느타리버섯, 표고버섯, 감자, 청경채를 넣고 3분 정도 끓여주세요.',' 오징어, 새우, 소고기를 넣고 30초 정도 끓여주세요.',' 땅콩버터, 마늘을 넣고 2분 정도 더 끓여주세요.', '완성 ',' 갖가지 재료와 얼얼한 매운맛을 음미하며 맛있게 즐기세요.']",['중식'],0,"['마라소스','소고기 샤브용']","['마라소스','물','사골국물','팽이버섯','느타리버섯','표고버섯','소고기 샤브용','감자','청경채','오징어','새우','납작당면','땅콩버터','다진 마늘']","중국에서 가장 매운 음식으로 손꼽히는 마라탕이 한국에서도 큰 인기를 끌고 있죠? 여러 가지 재료가 들어가는 마라탕은 맵고 얼큰한 맛이 특징이지만 땅콩버터를 넣으면 구수한 맛이 더해집니다. 
빵과 곁들여도 좋으니 취향껏 색다르게 즐겨보세요!"
